validator_pubkey,staker_lamports_diff,validator_lamports_diff
xMjsjrBAYaccVsHR5FhAYjTY2SCTRR1XcsAbt6P3TB7,999652607,86926313
yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi,848253246,63847018
25rtQR4h9BQKMcU6a1DxpZjB27dwcRUAdVb9binerD9E,162126575,18014063
26KEYanAp9hccSFaKPaYKzt6r5Sg7gZN99zD2khDKZch,1907405,188833048
26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,40151150132,3022129579
27MtjMSAQ2BGkXNuJEJkxFyCJT8dugGAaHJ9T7Gc6x4x,7359738750,817748749
2DM7z4MxS13BmxHc2aENmDYAiMPvYFnMmDyDDYHfuK7D,8028494,794820889
2EWi8L6xp62VgTqFo3LnhoSP5sL9CWqYxvK7UA63qK9x,3580742981,311368954
2Nd2Kc7hxj19GY3Xshrxuv99kU2EpAYT2KfdbvoDXcuQ,270,26667
2NxEEbhqqj1Qptq5LXLbDTP5tLa9f7PqkU8zNgxbGU9P,474578059,41267657
2PEyBgsPYBQ8pMdXQtEaPGNqWQHE9GCnmV2tTVN4GMru,4939148879,429491206
2PpHNHPLseBb4doTu1ajTwAxCrjmu7ubReDHKPrjxi9F,188204813,16365635
2Q9mEXrNcJknsDyBjsAieH8XrL4MBePEaLJwmHr3NK3L,36342991,3160260
2QE9X9X4tdDUTYic1DgBBJjU7cWUNPbKYGerCb9KqDQN,560747061,48760613
2ZiMfQaT59j86HVWCvspuMtBotnVBeTc3BKk3kKpwgKP,550894862,47903901
2bm3fmyLq12943jC1UePUcvFho7y1bUik8PisvsRc2yq,265331519,23072305
2g2QU1NDRax6i2mKzRwgRfdBFoDkMC6bj7Zp5Q3i8sCq,637063654,33529665
2giMniq7L6WLUaZwDsfP2fmTbTnsJgVDyBDZJ5vnmtE3,703093874,61138597
2het6nBRLq9LLZER8fqUEk7j5pbLxq2mVGqSse2nS3tf,221689386,24632153
2qsJLygBZ2XoYkRtkngH4fH4CtFmzfnjARbtMSWkZAQs,2988926086,259906616
2uXoWb4tuNZ72wAdQDfGn42PzRQ2kZD2x6ZDt3urwPrv,1525085,132616
33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ,7060436596,613951008
34yvUa2fxfm2tUqxFEj9PHrVNwCcdzd51eo9hntWpZRs,1978476566,172041440
39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw,6537875890,568510946
3NXnw51gHc2rDWTCWU4eVpP1yHyKKbJa1p6JDgMkmiDa,6191335312,325859753
3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q,7472610383,7472610382
3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7,2083261906,181153209
3dJBpR3ZzLjmQo5NSed4Crf18SLvdacUjLpbeenvGDAd,1966457727,218495303
3dXXxEaV4fZqw1PL7VezfDkiJV5W4WTtRjh2EHgKSthF,4234882863,0
3hHSwKHgnrbVDBWfkx6TJY1WABUoRs7Ve57sRTg9rAY9,340550704,29613104
3r5ZXC1yFqMmk8VwDdUJbEdPmZ8KZvEkzd5ThEYRetTk,240278842,20893812
3r84fqQnrSLrEDA8p5TStbHB8QFRHB9Frcdmq1AGVDYG,6980354,606987
3uvqr8aX2fS3W9XHdud5avRGbUtY9uswBGmr9S2N7uF2,806772663,42461719
3xjfK9C9YNcta8MvK1US4sQ3bc6DEjoJoR3qLExGf9xE,4797832117,0
3zxkHtntSzfW2rukRFqhN9SDPzqicvF6WwN6yDwdSvxQ,1519935143,132168273
48oxpSHQkM4sdXUY9NQ8KnEtebzZbyk8uUT7JRdVQNuf,1423002741,74894881
49DJjUX3cwFvaZD5rCAwubiz7qdRWDez9xmB381XdHru,1147198369,99756379
4CtNJvygjgJ3aY77eLV6Ld5V7g2M9bD2t9XYxYFcbMJ8,435002615,37312927
4DcSke272vfn4QQK49RNzPPj9pYasbyjoiY1a5UxLDH1,1556312904,172923655
4K4qpgksvHbKnk8mpMNncHxihMN1ayidQ8odqJKaN7mH,481324703,41854321
4KAmS9X8tGJPPzDdwT9Fa9F1y3GZEoacGhMqJ6zstUXN,788755602,68587443
4MpRU9fDDSQNNTeb4v5DPZZTKupYancGksH679AKLBnt,279203578,24278571
4NTGFvib9jutwo2GZbXSomgMoeJmoFv66T1mup4Kd8o6,320263027,35584780
4PTVcstjs4s89uETGapnjTNPDa4XfHF9kLUu8WCeYNQb,533479528,40154373
4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN,3251739717,171144195
4aFj9VyXDrqU4TnKWnMVuPaAVTaF4GZLLKZN2iZivW29,639437885,48129733
4jEHuQZTNTRYAhxRYEjV3HJ1b4wqdQjnBRdPzFWzkCft,481566690,41875364
